date,sum,count,median,A
2014-06-17 22:07:12,1066.4,241,862.9,0.23583265731834535
2014-06-22 22:07:12,2094.9,464,862.9,1.4277436551164677
2014-06-27 22:07:12,1534.55,340,862.9,0.7783636574342334
2014-07-02 22:07:12,1095.88,243,862.9,0.2699965233514894
2014-07-07 22:07:12,1132.8,254,862.9,0.31278247769150536
2014-07-12 22:07:12,1046.0,233,862.9,0.21219144744466334
2014-07-17 22:07:12,950.7,213,862.9,0.10174991308378734
2014-07-22 22:07:12,935.0,210,862.9,0.08355545254374785
2014-07-27 22:07:12,1084.2,240,862.9,0.2564607718159695
2014-08-01 22:07:12,1079.3,239,862.9,0.25078224591493803
2014-08-06 22:07:12,863.87,193,862.9,0.0011241163518369568
2014-08-11 22:07:12,815.7,183,862.9,-0.054699269903812686
2014-08-16 22:07:12,1173.7,264,862.9,0.3601807857225636
2014-08-21 22:07:12,1089.3799999999999,244,862.9,0.26246378491134537
2014-08-26 22:07:12,920.2,204,862.9,0.06640398655695923
2014-08-31 22:07:12,929.4,206,862.9,0.07706570865685469
2014-09-05 22:07:12,1097.22,244,862.9,0.27154942635299584
2014-09-10 22:07:12,993.63,223,862.9,0.15150075327384394
2014-09-15 22:07:12,923.2,207,862.9,0.06988063506779474
2014-09-20 22:07:12,891.5,198,862.9,0.03314404913663238
2014-09-25 22:07:12,778.83,174,862.9,-0.09742728010198165
2014-09-30 22:07:12,1107.5,248,862.9,0.2834627419167923
2014-10-05 22:07:12,1058.3,234,862.9,0.226445706339089
2014-10-10 22:07:12,1216.8,270,862.9,0.4101286359949008
2014-10-15 22:07:12,1237.44,277,862.9,0.4340479777494497
2014-10-20 22:07:12,1083.3,243,862.9,0.25541777726271864
2014-10-25 22:07:12,954.2,214,862.9,0.1058060030130954
2014-10-30 22:07:12,993.6,221,862.9,0.1514659867887358
2014-11-04 22:07:12,1012.4,227,862.9,0.17325298412330503
2014-11-09 22:07:12,1006.11,222,862.9,0.16596361107892
2014-11-14 22:07:12,1830.8,408,862.9,1.1216826978792445
2014-11-19 22:07:12,1060.33,238,862.9,0.22879823849808778
2014-11-24 22:07:12,1360.6,303,862.9,0.5767759879476184
2014-11-29 22:07:12,931.59,208,862.9,0.07960366206976488
2014-12-04 22:07:12,1121.4,246,862.9,0.2995712133503303
2014-12-09 22:07:12,853.39,190,862.9,-0.011020975779348685
2014-12-14 22:07:12,907.8,202,862.9,0.052033839378838875
2014-12-19 22:07:12,941.99,209,862.9,0.09165604357399482
2014-12-24 22:07:12,721.2,160,862.9,-0.16421369799513263
2014-12-29 22:07:12,937.76,207,862.9,0.08675396917371647
2015-01-03 22:07:12,855.85,191,862.9,-0.008170124000463463
2015-01-08 22:07:12,866.3,192,862.9,0.003940201645613595
2015-01-13 22:07:12,788.28,176,862.9,-0.08647583729284969
2015-01-18 22:07:12,918.63,205,862.9,0.06458454050295526
2015-01-23 22:07:12,777.72,174,862.9,-0.09871364005099081
2015-01-28 22:07:12,1006.65,223,862.9,0.16658940781087028
2015-02-02 22:07:12,793.4,178,862.9,-0.08054235716769031
2015-02-07 22:07:12,750.24,168,862.9,-0.13055974041024454
2015-02-12 22:07:12,1000.3,222,862.9,0.1592305017962683
2015-02-17 22:07:12,843.7,184,862.9,-0.02225055046934743
2015-02-22 22:07:12,906.6,201,862.9,0.050643179974504626
2015-02-27 22:07:12,754.2,169,862.9,-0.12597056437594156
2015-03-04 22:07:12,779.8,174,862.9,-0.09630316375014492
2015-03-09 22:07:12,754.9,169,862.9,-0.12515934639007997
2015-03-14 22:07:12,880.9,197,862.9,0.020859891065013292
2015-03-19 22:07:12,780.6,173,862.9,-0.09537605748058864
2015-03-24 22:07:12,751.71,169,862.9,-0.12885618263993504
2015-03-29 22:07:12,1130.34,248,862.9,0.30993162591262013
2015-04-03 22:07:12,711.08,160,862.9,-0.17594159230501794
2015-04-08 22:07:12,772.6,175,862.9,-0.10464712017615019
2015-04-13 22:07:12,692.0,155,862.9,-0.19805307683393203
2015-04-18 22:07:12,890.3,198,862.9,0.03175338973229813
2015-04-23 22:07:12,1219.46,269,862.9,0.41321126434117517
2015-04-28 22:07:12,849.4,191,862.9,-0.015644918298760024
2015-05-03 22:07:12,1525.5,337,862.9,0.7678757677598795
2015-05-08 22:07:12,1413.06,314,862.9,0.6375709815737629
2015-05-13 22:07:12,944.6,209,862.9,0.09468072777842163
2015-05-18 22:07:12,1105.19,245,862.9,0.2807857225634489
2015-05-23 22:07:12,947.4399999999999,212,862.9,0.09797195503534595
2015-05-28 22:07:12,892.9,198,862.9,0.03476648510835556
2015-06-02 22:07:12,793.6,178,862.9,-0.08031058060030127
2015-06-07 22:07:12,1052.7,232,862.9,0.21995596245219606
2015-06-12 22:07:12,812.3,183,862.9,-0.05863947154942639
2015-06-17 22:07:12,667.5,149,862.9,-0.22644570633908911
2015-06-22 22:07:12,771.6,171,862.9,-0.10580600301309528
2015-06-27 22:07:12,852.0,191,862.9,-0.012631822922702485
2015-07-02 22:07:12,1106.13,246,862.9,0.2818750724301775
2015-07-07 22:07:12,862.9,193,862.9,0.0
2015-07-12 22:07:12,955.8,212,862.9,0.10766021555220773
2015-07-17 22:07:12,785.1,174,862.9,-0.09016108471433537
2015-07-22 22:07:12,1070.5,236,862.9,0.24058407694982042
2015-07-27 22:07:12,829.6,185,862.9,-0.03859079847027458
2015-08-01 22:07:12,863.9,193,862.9,0.0011588828369450965
2015-08-06 22:07:12,923.8,202,862.9,0.07057596476996175
2015-08-11 22:07:12,870.7,191,862.9,0.009039286128172508
2015-08-16 22:07:12,839.21,189,862.9,-0.027453934407231317
2015-08-21 22:07:12,811.5,182,862.9,-0.05956657781898245
2015-08-26 22:07:12,799.8,181,862.9,-0.07312550701124121
2015-08-31 22:07:12,1005.65,223,862.9,0.16543052497392519
2015-09-05 22:07:12,1198.0,264,862.9,0.38834163866033156
2015-09-10 22:07:12,899.4,200,862.9,0.042299223548499354
2015-09-15 22:07:12,2761.4,604,862.9,2.2001390659404336
2015-09-20 22:07:12,1305.5,293,862.9,0.5129215436319388
2015-09-25 22:07:12,1088.5,243,862.9,0.2614439680148337
2015-09-30 22:07:12,900.1,202,862.9,0.04311044153436083
2015-10-05 22:07:12,776.0,175,862.9,-0.1007069185305366
2015-10-10 22:07:12,867.9,196,862.9,0.005794414184725927
2015-10-15 22:07:12,890.8,198,862.9,0.03233283115077068
2015-10-20 22:07:12,958.3,215,862.9,0.11055742264457069
2015-10-25 22:07:12,941.3,213,862.9,0.0908564144165025
2015-10-30 22:07:12,952.63,211,862.9,0.10398655695909143
2015-11-04 22:07:12,1206.8,266,862.9,0.39853980762544916
2015-11-09 22:07:12,957.58,212,862.9,0.10972302700197023
2015-11-14 22:07:12,1102.1,248,862.9,0.2772047745972881
2015-11-19 22:07:12,981.5,219,862.9,0.13744350446169906
2015-11-24 22:07:12,967.7,212,862.9,0.12145092131185553
2015-11-29 22:07:12,869.4,193,862.9,0.007532738440143794
2015-12-04 22:07:12,1240.2,272,862.9,0.4372464943794183
2015-12-09 22:07:12,873.5,198,862.9,0.012284158071619089
2015-12-14 22:07:12,782.1,175,862.9,-0.09363773322517088
2015-12-19 22:07:12,825.8,184,862.9,-0.04299455325066637
2015-12-24 22:07:12,863.72,192,862.9,0.0009502839262951479
2015-12-29 22:07:12,656.33,147,862.9,-0.23939042762776674
2016-01-03 22:07:12,867.9,193,862.9,0.005794414184725927
2016-01-08 22:07:12,875.1,195,862.9,0.014138370610731199
2016-01-13 22:07:12,893.24,199,862.9,0.03516050527291692
2016-01-18 22:07:12,738.3,164,862.9,-0.14439680148337009
2016-01-23 22:07:12,845.91,187,862.9,-0.019689419399698704
2016-01-28 22:07:12,923.93,205,862.9,0.07072661953876458
2016-02-02 22:07:12,766.8,170,862.9,-0.11136864063043228
2016-02-07 22:07:12,852.7,189,862.9,-0.011820604936840784
2016-02-12 22:07:12,828.38,186,862.9,-0.04000463553134781
2016-02-17 22:07:12,928.21,206,862.9,0.07568663808089005
2016-02-22 22:07:12,735.17,165,862.9,-0.14802410476300853
2016-02-27 22:07:12,958.1,214,862.9,0.11032564607718176
2016-03-03 22:07:12,785.5,178,862.9,-0.08969753157955729
2016-03-08 22:07:12,747.43,168,862.9,-0.1338162011820605
2016-03-13 22:07:12,800.9,178,862.9,-0.07185073589060142
2016-03-18 22:07:12,850.89,192,862.9,-0.013918182871711648
2016-03-23 22:07:12,637.9,144,862.9,-0.2607486383126666
2016-03-28 22:07:12,832.02,187,862.9,-0.03578630200486732
2016-04-02 22:07:12,1100.2,243,862.9,0.27500289720709237
2016-04-07 22:07:12,970.6,217,862.9,0.12481168153899636
2016-04-12 22:07:12,1342.2,291,862.9,0.5554525437478273
2016-04-17 22:07:12,1147.7,254,862.9,0.33004983196198867
2016-04-22 22:07:12,977.8,218,862.9,0.13315563796500163
2016-04-27 22:07:12,959.5,214,862.9,0.11194808204890494
2016-05-02 22:07:12,861.3,192,862.9,-0.001854212539112332
2016-05-07 22:07:12,868.3,195,862.9,0.00625796731950401
2016-05-12 22:07:12,931.5,207,862.9,0.0794993626144398
2016-05-17 22:07:12,782.2,175,862.9,-0.0935218449414763
2016-05-22 22:07:12,644.63,145,862.9,-0.2529493568200255
2016-05-27 22:07:12,971.3,216,862.9,0.12562289952485806
2016-06-01 22:07:12,822.4,183,862.9,-0.04693475489627996
2016-06-06 22:07:12,881.39,195,862.9,0.02142774365511646
2016-06-11 22:07:12,893.24,199,862.9,0.03516050527291692
2016-06-16 22:07:12,1024.6,226,862.9,0.18739135473403623
2016-06-21 22:07:12,1104.0,247,862.9,0.27940665198748404
2016-06-26 22:07:12,983.5,219,862.9,0.13976127013558926
2016-07-01 22:07:12,885.3,198,862.9,0.025958975547572205
2016-07-06 22:07:12,820.8,181,862.9,-0.048788967435392294
2016-07-11 22:07:12,835.0,184,862.9,-0.03233283115077068
2016-07-16 22:07:12,888.42,196,862.9,0.029574689998841164
2016-07-21 22:07:12,850.03,186,862.9,-0.014914822111484538
2016-07-26 22:07:12,903.53,202,862.9,0.04708540966508279
2016-07-31 22:07:12,847.28,188,862.9,-0.018101749913083776
2016-08-05 22:07:12,717.39,161,862.9,-0.1686290416038938
2016-08-10 22:07:12,1091.0,239,862.9,0.2643411751071967
2016-08-15 22:07:12,1559.4,342,862.9,0.8071618959323215
2016-08-20 22:07:12,993.9,219,862.9,0.1518136516398192
2016-08-25 22:07:12,970.79,217,862.9,0.1250318692780159
2016-08-30 22:07:12,1588.57,347,862.9,0.8409665082860123
2016-09-04 22:07:12,971.2,215,862.9,0.1255070112411636
2016-09-09 22:07:12,852.3,189,862.9,-0.012284158071618978
2016-09-14 22:07:12,897.3,200,862.9,0.03986556959091425
2016-09-19 22:07:12,1253.0,273,862.9,0.45208019469231675
2016-09-24 22:07:12,972.68,215,862.9,0.12722215783984225
2016-09-29 22:07:12,776.9,174,862.9,-0.09966392397728585
2016-10-04 22:07:12,717.7,160,862.9,-0.1682697879244408
2016-10-09 22:07:12,768.3,171,862.9,-0.10963031637501452
2016-10-14 22:07:12,834.0,186,862.9,-0.03349171398771578
2016-10-19 22:07:12,719.3,161,862.9,-0.16641557538532858
2016-10-24 22:07:12,797.11,175,862.9,-0.07624290184262372
2016-10-29 22:07:12,795.1,177,862.9,-0.07857225634488352
2016-11-03 22:07:12,781.86,175,862.9,-0.09391586510603778
2016-11-08 22:07:12,1281.1,278,862.9,0.48464480241047614
2016-11-13 22:07:12,1340.6,300,862.9,0.5535983312087147
2016-11-18 22:07:12,1535.6,339,862.9,0.7795804844130259
2016-11-23 22:07:12,972.5,215,862.9,0.1270135589291923
2016-11-28 22:07:12,747.6,166,862.9,-0.1336191910997797
2016-12-03 22:07:12,1062.05,231,862.9,0.23079151697763356
2016-12-08 22:07:12,1616.6,354,862.9,0.8734499942055858
2016-12-13 22:07:12,1550.54,337,862.9,0.7968941939969869
2016-12-18 22:07:12,1244.0,272,862.9,0.44165024915981
2016-12-23 22:07:12,1062.6,235,862.9,0.23142890253795323
2016-12-28 22:07:12,779.9,173,862.9,-0.09618727546645034
2017-01-02 22:07:12,1031.1,224,862.9,0.19492409317418002
2017-01-07 22:07:12,849.1,186,862.9,-0.01599258314984353
2017-01-12 22:07:12,717.7,158,862.9,-0.1682697879244408
2017-01-17 22:07:12,810.4,179,862.9,-0.06084134893962223
2017-01-22 22:07:12,769.4,171,862.9,-0.10835554525437474
2017-01-27 22:07:12,786.3,173,862.9,-0.08877042531000123
2017-02-01 22:07:12,731.2,163,862.9,-0.15262486962568078
2017-02-06 22:07:12,664.9,145,862.9,-0.22945880171514665
2017-02-11 22:07:12,730.5,160,862.9,-0.15343608761154248
2017-02-16 22:07:12,672.12,150,862.9,-0.2210916676324023
2017-02-21 22:07:12,698.19,153,862.9,-0.19087959207324134
2017-02-26 22:07:12,813.3,180,862.9,-0.057480588712481184
2017-03-03 22:07:12,735.34,162,862.9,-0.14782709468072774
2017-03-08 22:07:12,558.8,124,862.9,-0.3524162707150308
2017-03-13 22:07:12,797.8,174,862.9,-0.07544327268513151
2017-03-18 22:07:12,670.6899999999999,151,862.9,-0.22274887008923405
2017-03-23 22:07:12,759.1,170,862.9,-0.1202920384749101
2017-03-28 22:07:12,864.2,191,862.9,0.0015065476880287143
2017-04-02 22:07:12,803.1,178,862.9,-0.06930119364932197
2017-04-07 22:07:12,800.4,175,862.9,-0.07243017730907408
2017-04-12 22:07:12,786.7,175,862.9,-0.08830687217522304
2017-04-17 22:07:12,680.0,151,862.9,-0.2119596708772743
2017-04-22 22:07:12,905.7,201,862.9,0.049600185421253995
2017-04-27 22:07:12,1067.8,235,862.9,0.2374550932900683
2017-05-02 22:07:12,731.6,162,862.9,-0.1521613164909027
2017-05-07 22:07:12,968.4,210,862.9,0.12226213929771701
2017-05-12 22:07:12,761.06,169,862.9,-0.11802062811449765
2017-05-17 22:07:12,679.7,152,862.9,-0.2123073357283578
2017-05-22 22:07:12,608.1,135,862.9,-0.295283346853633
2017-05-27 22:07:12,812.8,180,862.9,-0.058060030130953844
2017-06-01 22:07:12,575.9,129,862.9,-0.332599374203268
2017-06-06 22:07:12,693.38,153,862.9,-0.19645381851894772
2017-06-11 22:07:12,775.76,172,862.9,-0.10098505041140338
2017-06-16 22:07:12,791.31,177,862.9,-0.08296442229690582
2017-06-21 22:07:12,767.35,172,862.9,-0.11073125507011239
2017-06-26 22:07:12,661.9,149,862.9,-0.23293545022598217
2017-07-01 22:07:12,807.5,180,862.9,-0.06420210916676317
2017-07-06 22:07:12,838.8,189,862.9,-0.027929076370379002
2017-07-11 22:07:12,736.4,165,862.9,-0.14659867887356592
2017-07-16 22:07:12,1405.85,317,862.9,0.629215436319388
2017-07-21 22:07:12,832.0699999999999,188,862.9,-0.03572835786302009
2017-07-26 22:07:12,673.57,150,862.9,-0.21941128751883177
2017-07-31 22:07:12,612.7,136,862.9,-0.28995248580368516
2017-08-05 22:07:12,812.7,180,862.9,-0.0581759184146482
2017-08-10 22:07:12,789.61,173,862.9,-0.0849345231197125
2017-08-15 22:07:12,686.3,152,862.9,-0.20465870900451966
2017-08-20 22:07:12,642.12,145,862.9,-0.25585815274075785
2017-08-25 22:07:12,698.28,156,862.9,-0.19077529261791637
2017-08-30 22:07:12,780.92,173,862.9,-0.09500521497276626
2017-09-04 22:07:12,1352.9,301,862.9,0.5678525901031408
2017-09-09 22:07:12,1100.82,249,862.9,0.27572140456599836
2017-09-14 22:07:12,1005.5,223,862.9,0.16525669254838338
2017-09-19 22:07:12,1004.7,223,862.9,0.1643295862788272
2017-09-24 22:07:12,893.4,197,862.9,0.03534592652682811
2017-09-29 22:07:12,716.8,162,862.9,-0.16931278247769155
2017-10-04 22:07:12,751.4,166,862.9,-0.12921543631938814
2017-10-09 22:07:12,781.39,175,862.9,-0.09446054003940196
2017-10-14 22:07:12,713.4,157,862.9,-0.17325298412330514
2017-10-19 22:07:12,686.4,151,862.9,-0.20454282072082508
2017-10-24 22:07:12,607.53,135,862.9,-0.2959439100706919
2017-10-29 22:07:12,1296.9,282,862.9,0.5029551512342103
2017-11-03 22:07:12,942.7,207,862.9,0.0924788503882259
2017-11-08 22:07:12,1067.38,235,862.9,0.23696836249855147
2017-11-13 22:07:12,1073.8,232,862.9,0.24440839031173955
2017-11-18 22:07:12,1285.6,281,862.9,0.4898597751767295
2017-11-23 22:07:12,707.53,158,862.9,-0.18005562637617334
2017-11-28 22:07:12,786.4,174,862.9,-0.08865453702630666
2017-12-03 22:07:12,810.8,178,862.9,-0.06037779580484415
2017-12-08 22:07:12,691.0,153,862.9,-0.19921195967087724
2017-12-13 22:07:12,739.16,163,862.9,-0.1434001622435972
2017-12-18 22:07:12,701.0,153,862.9,-0.18762313130142538
2017-12-23 22:07:12,745.5,166,862.9,-0.1360528450573647
2017-12-28 22:07:12,690.9,154,862.9,-0.1993278479545718
2018-01-02 22:07:12,756.26,169,862.9,-0.12358326573183454
2018-01-07 22:07:12,861.0,189,862.9,-0.002201877390195839
2018-01-12 22:07:12,780.3,174,862.9,-0.09572372233167226
2018-01-17 22:07:12,718.42,161,862.9,-0.16743539228184035
2018-01-22 22:07:12,1336.8,298,862.9,0.549194576428323
2018-01-27 22:07:12,836.7,185,862.9,-0.03036273032796377
2018-02-01 22:07:12,823.63,181,862.9,-0.04550932900683735
2018-02-06 22:07:12,700.8,154,862.9,-0.18785490786881454
2018-02-11 22:07:12,769.7,172,862.9,-0.10800788040329112
2018-02-16 22:07:12,771.5,171,862.9,-0.10592189129678986
2018-02-21 22:07:12,1178.9,255,862.9,0.3662069764746785
2018-02-26 22:07:12,1081.3,237,862.9,0.25310001158882844
2018-03-03 22:07:12,1008.2,218,862.9,0.1683856762081355
2018-03-08 22:07:12,684.8,153,862.9,-0.2063970332599374
2018-03-13 22:07:12,724.8,162,862.9,-0.1600417197821301
2018-03-18 22:07:12,736.48,163,862.9,-0.14650596824661022
2018-03-23 22:07:12,727.3,161,862.9,-0.15714451268976715
2018-03-28 22:07:12,904.91,201,862.9,0.04868466798006721
2018-04-02 22:07:12,793.99,174,862.9,-0.07985861629389268
2018-04-07 22:07:12,821.34,184,862.9,-0.04816317070344178
2018-04-12 22:07:12,728.0,161,862.9,-0.15633329470390545
2018-04-17 22:07:12,679.2,151,862.9,-0.21288677714683035
2018-04-22 22:07:12,814.1,181,862.9,-0.05655348244292502
2018-04-27 22:07:12,707.22,157,862.9,-0.18041488005562634
2018-05-02 22:07:12,906.84,200,862.9,0.05092131185537152
2018-05-07 22:07:12,703.38,155,862.9,-0.18486499014949587
2018-05-12 22:07:12,816.77,181,862.9,-0.053459265268281375
2018-05-17 22:07:12,822.6,180,862.9,-0.04670297832889092
2018-05-22 22:07:12,757.91,168,862.9,-0.12167110905087497
2018-05-27 22:07:12,722.92,160,862.9,-0.16222041951558697
2018-06-01 22:07:12,809.8,179,862.9,-0.061536678641789355
2018-06-06 22:07:12,789.22,176,862.9,-0.0853864874261212
2018-06-11 22:07:12,755.15,166,862.9,-0.1248696256808437
2018-06-16 22:07:12,764.67,168,862.9,-0.11383706107312552
2018-06-21 22:07:12,791.38,175,862.9,-0.0828833004983196
2018-06-26 22:07:12,849.42,189,862.9,-0.015621740642021154
2018-07-01 22:07:12,769.93,172,862.9,-0.10774133735079383
2018-07-06 22:07:12,1067.1,232,862.9,0.2366438753042066
2018-07-11 22:07:12,680.0,150,862.9,-0.2119596708772743
2018-07-16 22:07:12,709.4,155,862.9,-0.17788851547108586
2018-07-21 22:07:12,770.62,171,862.9,-0.10694170819330162
2018-07-26 22:07:12,812.6,181,862.9,-0.058291806698342774
2018-07-31 22:07:12,786.6,175,862.9,-0.0884227604589175
2018-08-05 22:07:12,953.01,211,862.9,0.10442693243713053
2018-08-10 22:07:12,851.71,188,862.9,-0.0129678989454165
2018-08-15 22:07:12,2081.6,457,862.9,1.4123305133850965
2018-08-20 22:07:12,1107.8,245,862.9,0.2838104067678757
2018-08-25 22:07:12,1163.48,256,862.9,0.34833700312898364
2018-08-30 22:07:12,796.7,176,862.9,-0.07671804380577119
2018-09-04 22:07:12,1229.3,267,862.9,0.4246146714567156
2018-09-09 22:07:12,1038.4,230,862.9,0.20338393788387998
2018-09-14 22:07:12,1055.6,232,862.9,0.2233167226793371
2018-09-19 22:07:12,870.4,193,862.9,0.00869162127708889
2018-09-24 22:07:12,1293.61,284,862.9,0.49914242670066056
2018-09-29 22:07:12,1083.71,238,862.9,0.2558929192258663
2018-10-04 22:07:12,879.9,194,862.9,0.019701008228068195
2018-10-09 22:07:12,847.1,182,862.9,-0.018310348823733835
2018-10-14 22:07:12,1182.2,256,862.9,0.3700312898365976
2018-10-19 22:07:12,886.9,195,862.9,0.027813188086684537
2018-10-24 22:07:12,1359.4,296,862.9,0.5753853285432844
2018-10-29 22:07:12,984.01,216,862.9,0.1403523003824314
2018-11-03 22:07:12,816.8,180,862.9,-0.05342449878317301
2018-11-08 22:07:12,881.1,194,862.9,0.021091667632402444
2018-11-13 22:07:12,1064.0,233,862.9,0.23305133850967663
2018-11-18 22:07:12,756.59,168,862.9,-0.12320083439564256
2018-11-23 22:07:12,834.8,182,862.9,-0.03256460771815972
2018-11-28 22:07:12,918.12,202,862.9,0.0639935102561131
2018-12-03 22:07:12,1557.37,336,862.9,0.8048093637733225
2018-12-08 22:07:12,881.9,194,862.9,0.02201877390195861
2018-12-13 22:07:12,851.4,187,862.9,-0.01332715262486961
2018-12-18 22:07:12,1091.5,240,862.9,0.26492061652566923
2018-12-23 22:07:12,1005.2,222,862.9,0.16490902769729998
2018-12-28 22:07:12,907.6,201,862.9,0.05180206281144972
2019-01-02 22:07:12,1055.8,232,862.9,0.22354849924672604
2019-01-07 22:07:12,846.1,186,862.9,-0.019469231660679043
2019-01-12 22:07:12,0.0,0,862.9,-1.0
